OBJECTID,Shape,COMPKEY,ELMNTKEY,SEGKEY,UNITID,UNITDESC,RECEIPT_NBR,PANDD_NBR,PAIDAREA,SUBAREA,SIDE
1,(47.613005487000066: -122.34371316899995),529482,70750,2762,PSL-J021,2ND AVE 0210 BLOCK NE SIDE ( 233) 233 FT NW/O LENORA ST (02-21-18)                                                                                                                                                                                             ,J021,10021002,Belltown,South,NE
2,(47.60734791500005: -122.322636252),528335,77562,9669,PSL-H075,CHERRY ST 0110 BLOCK SE SIDE ( 122) 122 FT NE/O BOREN AVE (7-11-13)                                                                                                                                                                                            ,H075,8075002,First Hill,,SE
3,(47.60937133300007: -122.34037387799998),527938,46250,1009,PSL-E028,1ST AVE 0150 BLOCK NE SIDE ( 206) 206 FT NW/O PIKE ST (01-15-16T)                                                                                                                                                                                              ,E028,5028502,Commercial Core,Retail,NE
4,(47.61313730000006: -122.34697666599999),527784,9277,9197,PSL-B083,BELL ST 0007 BLOCK NW SIDE ( 135) 135 FT NE/O WESTERN AVE (23-00-62)                                                                                                                                                                                           ,B083,2083002,Belltown,South,NW
5,(47.61157044300006: -122.32198291899999),529370,35506,12873,PSL-H098,SPRING ST 0140 BLOCK SE SIDE ( 111) 111 FT NE/O BOYLSTON AVE (11-14-09)                                                                                                                                                                                        ,H098,8098002,First Hill,,SE
6,(47.61394871300007: -122.33674911399999),528256,35525,12903,PSL-J157,STEWART ST 0060 BLOCK NW SIDE ( 112) 112 FT NE/O 6TH AVE (19-06-08)                                                                                                                                                                                            ,J157,10157402,Denny Triangle,South,NW
7,(47.611199326000076: -122.32565346299998),533942,58085,12781,PSL-H513,SENECA ST 0110 BLOCK NW SIDE ( 226) 226 FT NE/O BOREN AVE (12-11-08)                                                                                                                                                                                           ,H513,8513002,First Hill,,NW
8,(47.61090610100007: -122.34450470899998),527708,58805,13506,PSL-B039,WESTERN AVE 0200 BLOCK SW SIDE ( 312) 312 FT NW/O VIRGINIA ST (OW-20-33)                                                                                                                                                                                       ,B039,2039002,Belltown,South,SW
9,(47.60477875600003: -122.33113156299999),527941,9770,9731,PSL-D081,COLUMBIA ST 0040 BLOCK SE SIDE (  95) 95 FT NE/O 4TH AVE (8-04-07)                                                                                                                                                                                             ,D081,4081002,Commercial Core,Financial,SE
10,(47.65865556000006: -122.31308865199998),529910,13214,13220,PSL-L040,UNIVERSITY WAY NE 0420 BLOCK E SIDE ( 109) 109 FT N/O NE 42ND ST (NEUW-42-08)                                                                                                                                                                                  ,L040,12040002,University District,Core,E
11,(47.61094520200004: -122.34768498399995),527731,31498,8729,PSL-B091,ALASKAN WAY 0220 BLOCK NE SIDE (  58) 58 FT NW/O BLANCHARD ST (OA-22-02)                                                                                                                                                                                       ,B091,2091002,Belltown,South,NE
12,(47.656789771000035: -122.31614681399998),529965,39330,16754,PSL-L075,NE 41ST ST 0110 BLOCK S SIDE ( 120) 120 FT E/O 11TH AVE NE (NE41-11-09)                                                                                                                                                                                        ,L075,12075004,University District,Edge,S
13,(47.610928982000075: -122.32213410599996),529454,9421,9370,PSL-H095,BOYLSTON AVE 0100 BLOCK SW SIDE (  80) 80 FT NW/O MADISON ST (BN-10-03)                                                                                                                                                                                        ,H095,8095002,First Hill,,SW
14,(47.61354145900003: -122.33863181099997),529509,52522,7242,PSL-J054,5TH AVE 0190 BLOCK NE SIDE ( 259) 259 FT NW/O STEWART ST (05-19-22)                                                                                                                                                                                            ,J054,10054002,Belltown,South,NE
15,(47.662901145000035: -122.31412145999997),529808,9510,9482,PSL-L020,BROOKLYN AVE NE 0450 BLOCK E SIDE ( 569) 569 FT N/O NE 45TH ST (NEBN-45-52)                                                                                                                                                                                    ,L020,12020002,University District,Core,E
